timestamp,weather_icon,wind_speed,humidity,temperature,location
1990-03-10T07:00:00+07:00,cloudy,3.6 km/h,89%,17.1°,Hà Nội
1990-03-11T07:00:00+07:00,cloudy,7.2 km/h,92%,19.0°,Hà Nội
1990-03-12T07:00:00+07:00,cloudy,7.2 km/h,94%,20.2°,Hà Nội
1990-03-13T07:00:00+07:00,cloudy,14.4 km/h,93%,20.9°,Hà Nội
1990-03-14T07:00:00+07:00,cloudy,25.2 km/h,96%,20.9°,Hà Nội
1990-03-15T07:00:00+07:00,cloudy,10.8 km/h,94%,20.9°,Hà Nội
1990-03-16T07:00:00+07:00,cloudy,7.2 km/h,92%,21.5°,Hà Nội
1990-03-17T07:00:00+07:00,cloudy,7.2 km/h,89%,21.5°,Hà Nội
1990-03-18T07:00:00+07:00,partly-cloudy-day,14.4 km/h,82%,20.8°,Hà Nội
1990-03-19T07:00:00+07:00,partly-cloudy-day,10.8 km/h,80%,21.4°,Hà Nội
1990-03-20T07:00:00+07:00,partly-cloudy-day,14.4 km/h,84%,20.8°,Hà Nội
1990-03-21T07:00:00+07:00,cloudy,21.6 km/h,87%,22.5°,Hà Nội
1990-03-22T07:00:00+07:00,partly-cloudy-day,18.0 km/h,83%,24.9°,Hà Nội
1990-03-23T07:00:00+07:00,partly-cloudy-day,14.4 km/h,89%,24.4°,Hà Nội
1990-03-24T07:00:00+07:00,partly-cloudy-day,7.2 km/h,86%,25.0°,Hà Nội
1990-03-25T07:00:00+07:00,partly-cloudy-day,14.4 km/h,85%,25.2°,Hà Nội
1990-03-26T07:00:00+07:00,cloudy,14.4 km/h,88%,24.7°,Hà Nội
1990-03-27T07:00:00+07:00,cloudy,18.0 km/h,92%,24.1°,Hà Nội
1990-03-28T07:00:00+07:00,cloudy,7.2 km/h,94%,23.6°,Hà Nội
1990-03-29T07:00:00+07:00,cloudy,7.2 km/h,91%,22.9°,Hà Nội
1990-03-30T07:00:00+07:00,cloudy,10.8 km/h,92%,23.4°,Hà Nội
1990-03-31T07:00:00+07:00,cloudy,7.2 km/h,92%,24.0°,Hà Nội
1990-04-01T07:00:00+07:00,cloudy,10.8 km/h,93%,24.4°,Hà Nội
1990-04-02T07:00:00+07:00,cloudy,10.8 km/h,87%,25.9°,Hà Nội
1990-04-03T07:00:00+07:00,partly-cloudy-day,7.2 km/h,88%,26.3°,Hà Nội
1990-04-04T07:00:00+07:00,cloudy,14.4 km/h,81%,21.7°,Hà Nội
1990-04-05T07:00:00+07:00,cloudy,18.0 km/h,79%,17.5°,Hà Nội
1990-04-06T07:00:00+07:00,cloudy,10.8 km/h,87%,18.8°,Hà Nội
1990-04-07T07:00:00+07:00,cloudy,3.6 km/h,87%,21.3°,Hà Nội
1990-04-08T07:00:00+07:00,cloudy,14.4 km/h,81%,23.5°,Hà Nội
1990-04-09T07:00:00+07:00,partly-cloudy-day,18.0 km/h,85%,24.7°,Hà Nội
1990-04-10T07:00:00+07:00,cloudy,18.0 km/h,89%,24.9°,Hà Nội
1990-04-11T07:00:00+07:00,partly-cloudy-day,0.0 km/h,85%,25.9°,Hà Nội
1990-04-12T07:00:00+07:00,cloudy,10.8 km/h,76%,23.4°,Hà Nội
1990-04-13T07:00:00+07:00,partly-cloudy-day,7.2 km/h,69%,24.6°,Hà Nội
1990-04-14T07:00:00+07:00,cloudy,10.8 km/h,83%,24.0°,Hà Nội
1990-04-15T07:00:00+07:00,cloudy,7.2 km/h,89%,25.2°,Hà Nội
1990-04-16T07:00:00+07:00,partly-cloudy-day,10.8 km/h,89%,26.4°,Hà Nội
1990-04-17T07:00:00+07:00,partly-cloudy-day,10.8 km/h,81%,26.3°,Hà Nội
1990-04-18T07:00:00+07:00,cloudy,7.2 km/h,92%,22.8°,Hà Nội
