year,month,day,day_of_week,is_weekend,is_winter,is_spring,is_summer,is_fall,title_length,content_length,keywords_count,kw_không khí,kw_sương mù,kw_cháy,kw_nhà máy,kw_khói,kw_bụi,kw_ô nhiễm không khí,kw_đốt,kw_khí thải,kw_bụi mịn,kw_pm2.5,kw_đốt rơm rạ,kw_khí độc,kw_no2,kw_cháy rừng
2025,1,28,1,0,1,0,0,0,66,989,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,28,1,0,1,0,0,0,69,2805,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,27,0,0,1,0,0,0,45,4995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,26,6,1,1,0,0,0,74,3151,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,26,6,1,1,0,0,0,45,2828,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,25,5,1,1,0,0,0,58,2585,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,23,3,0,1,0,0,0,64,3220,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,23,3,0,1,0,0,0,61,1781,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,23,3,0,1,0,0,0,62,2118,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,21,1,0,1,0,0,0,54,5008,5,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
2025,1,21,1,0,1,0,0,0,58,2270,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,20,0,0,1,0,0,0,59,2369,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,19,6,1,1,0,0,0,40,2502,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,18,5,1,1,0,0,0,49,2226,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,17,4,0,1,0,0,0,43,4052,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,17,4,0,1,0,0,0,75,3735,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025,1,17,4,0,1,0,0,0,71,2410,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,15,2,0,1,0,0,0,43,2988,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,14,1,0,1,0,0,0,39,2617,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,14,1,0,1,0,0,0,67,3072,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025,1,13,0,0,1,0,0,0,59,2617,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,12,6,1,1,0,0,0,44,2367,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,11,5,1,1,0,0,0,47,2562,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,10,4,0,1,0,0,0,52,3284,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,10,4,0,1,0,0,0,66,5688,9,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0
2025,1,10,4,0,1,0,0,0,53,1250,5,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
2025,1,9,3,0,1,0,0,0,43,2609,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,8,2,0,1,0,0,0,47,2919,6,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0
2025,1,8,2,0,1,0,0,0,61,2762,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,8,2,0,1,0,0,0,67,5024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025,1,8,2,0,1,0,0,0,81,2843,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025,1,7,1,0,1,0,0,0,60,2651,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,6,0,0,1,0,0,0,61,2300,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2025,1,5,6,1,1,0,0,0,55,2359,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,4,5,1,1,0,0,0,47,2392,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,4,5,1,1,0,0,0,37,3307,6,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0
2025,1,3,4,0,1,0,0,0,59,2253,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,2,3,0,1,0,0,0,57,2358,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,1,2,3,0,1,0,0,0,57,3894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025,1,1,2,0,1,0,0,0,33,2806,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,31,1,0,1,0,0,0,51,2095,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,31,1,0,1,0,0,0,65,4566,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,12,30,0,0,1,0,0,0,54,2504,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,30,0,0,1,0,0,0,71,2594,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,29,6,1,1,0,0,0,43,2554,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,29,6,1,1,0,0,0,39,782,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,28,5,1,1,0,0,0,55,2955,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,27,4,0,1,0,0,0,64,4252,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,12,26,3,0,1,0,0,0,38,2966,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
